gene	method	split	cohort	rarity	n	called	correct	accuracy_all	call_rate	accuracy_called	majority_accuracy
HLA-A	coding_sequence	leave_cohort_out	ALL	ALL	726	543	521	0.7176308539944903	0.7479338842975206	0.9594843462246777	0.0674931129476584
HLA-A	coding_sequence	leave_cohort_out	ALL	more_than_5_donors	577	413	413	0.7157712305025996	0.7157712305025996	1.0	0.08492201039861352
HLA-A	coding_sequence	leave_cohort_out	ALL	rare_1_to_5_donors	124	108	108	0.8709677419354839	0.8709677419354839	1.0	0.0
HLA-A	coding_sequence	leave_cohort_out	ALL	unseen	25	22	0	0.0	0.88	0.0	0.0
HLA-A	coding_sequence	leave_cohort_out	APR	ALL	105	85	81	0.7714285714285715	0.8095238095238095	0.9529411764705882	0.11428571428571428
HLA-A	coding_sequence	leave_cohort_out	CPC-Chinese	ALL	104	78	76	0.7307692307692307	0.75	0.9743589743589743	0.11538461538461539
HLA-A	coding_sequence	leave_cohort_out	HPRC-EastAsian	ALL	70	52	52	0.7428571428571429	0.7428571428571429	1.0	0.1
HLA-A	coding_sequence	leave_cohort_out	HPRC-Japanese	ALL	32	25	25	0.78125	0.78125	1.0	0.0625
HLA-A	coding_sequence	leave_cohort_out	HPRC-Jewish	ALL	2	2	2	1.0	1.0	1.0	0.0
HLA-A	coding_sequence	leave_cohort_out	HPRC-Rest	ALL	360	260	247	0.6861111111111111	0.7222222222222222	0.95	0.03611111111111111
HLA-A	coding_sequence	leave_cohort_out	JaSaPaGe-Japanese	ALL	10	9	7	0.7	0.9	0.7777777777777778	0.0
HLA-A	coding_sequence	leave_cohort_out	JaSaPaGe-Saudi	ALL	17	14	13	0.7647058823529411	0.8235294117647058	0.9285714285714286	0.0
HLA-A	coding_sequence	leave_cohort_out	KPanRef-Korean	ALL	26	18	18	0.6923076923076923	0.6923076923076923	1.0	0.11538461538461539
HLA-A	coding_sequence	leave_family_out	ALL	ALL	726	529	518	0.7134986225895317	0.7286501377410468	0.9792060491493384	0.12672176308539945
HLA-A	coding_sequence	leave_family_out	ALL	more_than_5_donors	670	483	483	0.7208955223880597	0.7208955223880597	1.0	0.1373134328358209
HLA-A	coding_sequence	leave_family_out	ALL	rare_1_to_5_donors	43	35	35	0.813953488372093	0.813953488372093	1.0	0.0
HLA-A	coding_sequence	leave_family_out	ALL	unseen	13	11	0	0.0	0.8461538461538461	0.0	0.0
HLA-A	coding_sequence	leave_family_out	APR	ALL	105	78	76	0.7238095238095238	0.7428571428571429	0.9743589743589743	0.11428571428571428
HLA-A	coding_sequence	leave_family_out	CPC-Chinese	ALL	104	78	76	0.7307692307692307	0.75	0.9743589743589743	0.11538461538461539
HLA-A	coding_sequence	leave_family_out	HPRC-EastAsian	ALL	70	52	52	0.7428571428571429	0.7428571428571429	1.0	0.1
