donor	category	represented_in_training	truth_C4_pair	predicted_C4_pair	truth_marginal_dosage	predicted_marginal_dosage	relative_structure_margin	normalized_rmse
HG00140	non_C4_prototype_signature_only	1	"[[""C4AL"", ""C4BL""], [""C4AL"", ""C4BS""]]"	"[[""C4AL"", ""C4BL""], [""C4AL"", ""C4BS""]]"	"{""A"": 2, ""B"": 2, ""long"": 3, ""short"": 1}"	"{""A"": 2, ""B"": 2, ""long"": 3, ""short"": 1}"	0.009220132430335062	0.8509776476591248
HG02155	C4_order_or_chromosome_distribution	1	"[[""C4AL"", ""C4AL""], [""C4BL""]]"	"[[""C4AL""], [""C4AL"", ""C4BL""]]"	"{""A"": 2, ""B"": 1, ""long"": 3, ""short"": 0}"	"{""A"": 2, ""B"": 1, ""long"": 3, ""short"": 0}"	0.018170376779674317	0.6454920676365027
NA18570	C4_marginal_form_dosage	1	"[[""C4AL"", ""C4BS""], [""C4AL"", ""C4BS""]]"	"[[""C4AL"", ""C4AS""], [""C4AL"", ""C4BS""]]"	"{""A"": 2, ""B"": 2, ""long"": 2, ""short"": 2}"	"{""A"": 3, ""B"": 1, ""long"": 2, ""short"": 2}"	0.0019015397532946838	0.777572978991326
NA18620	C4_joint_form_phase_with_matching_marginal_dosage	1	"[[""C4AL"", ""C4AS""], [""C4AL"", ""C4BL""]]"	"[[""C4AL"", ""C4AL""], [""C4AL"", ""C4BS""]]"	"{""A"": 3, ""B"": 1, ""long"": 3, ""short"": 1}"	"{""A"": 3, ""B"": 1, ""long"": 3, ""short"": 1}"	0.0003141955988438807	0.6653738208672111
NA18879	C4_marginal_form_dosage	0	"[[""C4AL"", ""C4BS""], [""C4AS""]]"	"[[""C4AL"", ""C4BS""], [""C4BS""]]"	"{""A"": 2, ""B"": 1, ""long"": 1, ""short"": 2}"	"{""A"": 1, ""B"": 2, ""long"": 1, ""short"": 2}"	0.14648182055976686	0.5309581534002549
NA18971	C4_marginal_form_dosage	1	"[[""C4AL"", ""C4BL""], [""C4AL"", ""C4BL""]]"	"[[""C4AL"", ""C4AL""], [""C4AL"", ""C4BL""]]"	"{""A"": 2, ""B"": 2, ""long"": 4, ""short"": 0}"	"{""A"": 3, ""B"": 1, ""long"": 4, ""short"": 0}"	0.002798970451214686	0.7632221472027334
NA18982	C4_marginal_form_dosage	1	"[[""C4AL"", ""C4AL""], [""C4AL"", ""C4BS""]]"	"[[""C4AL"", ""C4AL""], [""C4AL"", ""C4AS""]]"	"{""A"": 3, ""B"": 1, ""long"": 3, ""short"": 1}"	"{""A"": 4, ""B"": 0, ""long"": 3, ""short"": 1}"	0.006847261733152361	0.8857887218166934
NA18990	C4_marginal_form_dosage	1	"[[""C4AL"", ""C4BS""], [""C4AL"", ""C4BS""]]"	"[[""C4AL"", ""C4AS""], [""C4AL"", ""C4BS""]]"	"{""A"": 2, ""B"": 2, ""long"": 2, ""short"": 2}"	"{""A"": 3, ""B"": 1, ""long"": 2, ""short"": 2}"	0.0036216905698231005	0.6395764180924359
NA19088	C4_marginal_form_dosage	0	"[[""C4AL"", ""C4BL""], [""C4BL"", ""C4BL"", ""C4BL""]]"	"[[""C4AL"", ""C4BL""], [""C4AL"", ""C4BL"", ""C4BL""]]"	"{""A"": 1, ""B"": 4, ""long"": 5, ""short"": 0}"	"{""A"": 2, ""B"": 3, ""long"": 5, ""short"": 0}"	0.00890624156605684	0.910969562518152
NA20282	C4_joint_form_phase_with_matching_marginal_dosage	1	"[[""C4AL"", ""C4AS""], [""C4AL"", ""C4BS"", ""C4BS""]]"	"[[""C4AL"", ""C4AS""], [""C4BL"", ""C4AS"", ""C4BS""]]"	"{""A"": 3, ""B"": 2, ""long"": 2, ""short"": 3}"	"{""A"": 3, ""B"": 2, ""long"": 2, ""short"": 3}"	0.003027397951460773	0.9465603477129981
