donor	features	compatible_pairs	predicted_pair	truth_pair	pair_correct	status
HG00097	1	218		RCCX-STRUCT-c91a117646c15232;RCCX-STRUCT-c91a117646c15232	0	ambiguous
HG00099	1	85		RCCX-STRUCT-a002f576cdda62b4;RCCX-STRUCT-c91a117646c15232	0	ambiguous
HG00126	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-c91a117646c15232	0	ambiguous
HG00128	1	236		RCCX-STRUCT-0c843ef37c4c8a9d;RCCX-STRUCT-c91a117646c15232	0	ambiguous
HG00133	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-109f6cb2c3c027c8	0	ambiguous
HG00140	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-4c34865fcf2a50f9	0	ambiguous
HG00235	1	218		RCCX-STRUCT-c91a117646c15232;RCCX-STRUCT-c91a117646c15232	0	ambiguous
HG00253	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-c91a117646c15232	0	ambiguous
HG00272	1	85		RCCX-STRUCT-109f6cb2c3c027c8;RCCX-STRUCT-a002f576cdda62b4	0	ambiguous
HG00280	1	85		RCCX-STRUCT-a002f576cdda62b4;RCCX-STRUCT-c91a117646c15232	0	ambiguous
HG00290	1	85		RCCX-STRUCT-109f6cb2c3c027c8;RCCX-STRUCT-80c1563b57f16898	0	ambiguous
HG00320	1	85		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-80c1563b57f16898	0	ambiguous
HG00323	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
HG00344	1	218		RCCX-STRUCT-c91a117646c15232;RCCX-STRUCT-c91a117646c15232	0	ambiguous
HG00350	1	218		RCCX-STRUCT-c91a117646c15232;RCCX-STRUCT-c91a117646c15232	0	ambiguous
HG01167	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
HG01530	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
HG01784	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-109f6cb2c3c027c8	0	ambiguous
HG02040	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
HG02155	1	85		RCCX-STRUCT-109f6cb2c3c027c8;RCCX-STRUCT-7b1f207074474ef0	0	ambiguous
HG02165	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-c91a117646c15232	0	ambiguous
HG02178	1	236		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-e92677dc4f8b8aff	0	ambiguous
HG02391	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-c91a117646c15232	0	ambiguous
HG02583	1	85		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-80c1563b57f16898	0	ambiguous
HG02922	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
HG02976	1	85		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-80c1563b57f16898	0	ambiguous
HG03130	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-6493188f61335fa0	0	ambiguous
HG03209	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
HG03270	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
HG03369	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
HG03470	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
HG03521	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
HG03583	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
HG03742	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-c91a117646c15232	0	ambiguous
HG03874	1	236		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-e92677dc4f8b8aff	0	ambiguous
NA18508	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-b8ca310d36f0396c	0	ambiguous
NA18522	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
NA18565	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
NA18570	1	218		RCCX-STRUCT-08dc6d3cd5c804e4;RCCX-STRUCT-08dc6d3cd5c804e4	0	ambiguous
NA18608	1	218		RCCX-STRUCT-4c34865fcf2a50f9;RCCX-STRUCT-c91a117646c15232	0	ambiguous
NA18620	1	218		RCCX-STRUCT-b8ca310d36f0396c;RCCX-STRUCT-c91a117646c15232	0	ambiguous
NA18747	1	218		RCCX-STRUCT-c91a117646c15232;RCCX-STRUCT-c91a117646c15232	0	ambiguous
