#ctg	length	repeat_bundle_count	repeat_bundle_sum	repeat_bundle_percentage	repeat_bundle_mean	repeat_bundle_min	repeat_bundle_max	non_repeat_bundle_count	non_repeat_bundle_sum	non_repeat_bundle_percentage	non_repeat_bundle_mean	non_repeat_bundle_min	non_repeat_bundle_max	total_bundle_count	total_bundle_coverage_percentage
GRCh38#0#classII	553781	0	0	0	NA	NA	NA	243	456128	82.366135	1877.07	503	46165	243	82.366135
HG00097#1#classII	553783	0	0	0	NA	NA	NA	243	455910	82.32647	1876.1729	503	46183	243	82.32647
HG00097#2#classII	529478	0	0	0	NA	NA	NA	202	408002	77.0574	2019.8119	502	46181	202	77.0574
HG00099#1#classII	522546	0	0	0	NA	NA	NA	214	415034	79.425354	1939.4113	502	46180	214	79.425354
HG00099#2#classII	527820	0	0	0	NA	NA	NA	210	399601	75.70782	1902.8619	502	46180	210	75.70782
HG00126#1#classII	528014	0	0	0	NA	NA	NA	201	398818	75.53171	1984.1692	503	46178	201	75.53171
HG00126#2#classII	648579	0	0	0	NA	NA	NA	271	509299	78.52536	1879.3322	502	46108	271	78.52536
HG00128#1#classII	536231	0	0	0	NA	NA	NA	218	420962	78.50385	1931.0183	502	46092	218	78.50385
HG00128#2#classII	528406	0	0	0	NA	NA	NA	201	404305	76.514084	2011.4677	502	46184	201	76.514084
HG00133#1#classII	529630	0	0	0	NA	NA	NA	198	391547	73.928406	1977.5101	503	46185	198	73.928406
HG00133#2#classII	638347	0	0	0	NA	NA	NA	258	518275	81.19017	2008.8179	503	46166	258	81.19017
HG00140#1#classII	537687	0	0	0	NA	NA	NA	221	419570	78.03239	1898.5068	502	46184	221	78.03239
HG00140#2#classII	529234	0	0	0	NA	NA	NA	214	402039	75.96621	1878.6869	502	46166	214	75.96621
HG00146#1#classII	528543	0	0	0	NA	NA	NA	213	408018	77.19675	1915.5775	502	46174	213	77.19675
HG00146#2#classII	537043	0	0	0	NA	NA	NA	222	429470	79.96939	1934.5496	502	46183	222	79.96939
HG00232#1#classII	553190	0	0	0	NA	NA	NA	239	454305	82.12459	1900.8578	503	46181	239	82.12459
HG00232#2#classII	528246	0	0	0	NA	NA	NA	203	400205	75.7611	1971.4532	502	46179	203	75.7611
HG00235#1#classII	638750	0	0	0	NA	NA	NA	263	518428	81.162895	1971.2091	503	46100	263	81.162895
HG00235#2#classII	639040	0	0	0	NA	NA	NA	265	518333	81.1112	1955.9736	503	46179	265	81.1112
HG00253#1#classII	529214	0	0	0	NA	NA	NA	201	405137	76.554474	2015.6069	502	46180	201	76.554474
HG00253#2#classII	553791	0	0	0	NA	NA	NA	243	456139	82.36663	1877.1152	503	46166	243	82.36663
HG00272#1#classII	531823	0	0	0	NA	NA	NA	207	397307	74.70662	1919.3575	501	46183	207	74.70662
HG00272#2#classII	527819	0	0	0	NA	NA	NA	210	399650	75.71725	1903.0952	502	46180	210	75.71725
HG00280#1#classII	529487	0	0	0	NA	NA	NA	202	404599	76.4134	2002.9653	502	46179	202	76.4134
HG00280#2#classII	527818	0	0	0	NA	NA	NA	209	398963	75.58723	1908.9138	502	46180	209	75.58723
HG00290#1#classII	537034	0	0	0	NA	NA	NA	222	429347	79.94782	1933.9955	502	46183	222	79.94782
HG00290#2#classII	537042	0	0	0	NA	NA	NA	222	429471	79.96973	1934.5541	502	46182	222	79.96973
HG00320#1#classII	466851	0	0	0	NA	NA	NA	166	346378	74.19455	2086.6145	503	46177	166	74.19455
HG00320#2#classII	466544	0	0	0	NA	NA	NA	166	344256	73.788536	2073.8313	503	46164	166	73.788536
HG00321#1#classII	552087	0	0	0	NA	NA	NA	229	445661	80.72297	1946.1179	503	46169	229	80.72297
HG00321#2#classII	466842	0	0	0	NA	NA	NA	169	347238	74.380196	2054.6628	503	46183	169	74.380196
HG00323#1#classII	530413	0	0	0	NA	NA	NA	202	392974	74.0883	1945.4159	503	46180	202	74.0883
HG00323#2#classII	553767	0	0	0	NA	NA	NA	243	455988	82.34293	1876.4938	503	46113	243	82.34293
HG00329#1#classII	528464	0	0	0	NA	NA	NA	210	399301	75.55879	1901.4333	503	46177	210	75.55879
HG00329#2#classII	536901	0	0	0	NA	NA	NA	218	423450	78.869286	1942.4312	502	46176	218	78.869286
HG00344#1#classII	552991	0	0	0	NA	NA	NA	237	451935	81.72556	1906.8987	503	46177	237	81.72556
HG00344#2#classII	553772	0	0	0	NA	NA	NA	243	455837	82.314926	1875.8724	503	46113	243	82.314926
HG00350#1#classII	537038	0	0	0	NA	NA	NA	222	429462	79.96864	1934.5135	502	46182	222	79.96864
HG00350#2#classII	637439	0	0	0	NA	NA	NA	264	520102	81.59244	1970.0834	503	46186	264	81.59244
HG00408#1#classII	531702	0	0	0	NA	NA	NA	209	420766	79.13568	2013.2345	501	46166	209	79.13568
HG00408#2#classII	553469	0	0	0	NA	NA	NA	233	446070	80.5953	1914.4635	503	46165	233	80.5953
