candidate_id	hap_id	gene	published_exact_genomic	published_ordered_exact_cds_blocks	status	source	limitation
HLA-PROT-A-0a43cb72b419702c	HIFI032007D#2	HLA-A			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-A-3bdb0bb5dfb2bdf4	HIFI032097D#2	HLA-A			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-A-631f4bfc55f5c534	HIFI032302D#2	HLA-A			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-A-9bb712374e9c8728	KPanRef-071#1	HLA-A			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-A-a32dad94a625871a	HIFI032693D#1	HLA-A			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-A-edc0625baf0a9756	HIFI032487D#1	HLA-A			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-B-aeef6a2237aed7cc	HIFI032018D#1	HLA-B			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-C-5948b39ec166038b	NA18620#2	HLA-C			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-C-79ad8d4aa3e7427b	apr011#1	HLA-C			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-C-a9bcc74a9f2fde07	HIFI032454D#1	HLA-C			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DPA1-a6a5410a175074d7	apr038#1	HLA-DPA1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DPA1-aaf756c40cca0d9e	KPanRef-073#1	HLA-DPA1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DPB1-c6545df9d78da583	KOREF1#2	HLA-DPB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DQA1-c34cfadfb132ec23	HIFI032018D#1	HLA-DQA1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DQB1-b35bde913e752be5	HIFI032473D#1	HLA-DQB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-09e496e8c273453c	apr034#1	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-1b4917989a10231b	HIFI032604D#2	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-262af3b457b0d41f	KPanRef-077#2	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-271f04c1400f3cb7	RY06#1	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-2e91983c930650f7	KPanRef-079#2	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-45368816a077ce36	HIFI032335D#2	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
HLA-PROT-DRB1-4a5a3aab8f15e84c	HIFI032450D#2	HLA-DRB1			not_resolved_by_exact_block_search	Logsdon2025_HGSVC3_allele_archive	Negative exact search does not establish novelty; other publications and synonymous variants are not exhausted
