sample	haplotype	contig	contig_len	start	end	strand	piece_len	mhc_covered_bp	mhc_covered_frac	n_pieces	anchors	query	cohort
apr-f	1	h1tg000013l		28359072	33538103	+	5179032	5169788	0.9999	1	10474	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr-f	2	h2tg000007l		28398267	33550055	+	5151789	5169788	0.9999	1	10357	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr-m	1	h1tg000024l		27029616	32153356	-	5123741	5169604	0.9998	1	9828	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr-m	2	h2tg000013l		28339383	33475735	+	5136353	5169604	0.9998	1	9529	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr-s	1	h1tg000017l		28345655	33481940	+	5136286	5169604	0.9998	1	9528	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr-s	2	h2tg000009l		138522552	143696180	-	5173629	5169788	0.9999	1	9786	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr001	1	h1tg000015l		28434817	33593090	+	5158274	5169788	0.9999	1	10330	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr001	2	h2tg000018l		28338056	33431257	+	5093202	5169788	0.9999	1	9907	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr002	1	h1tg000010l		28385462	33644194	+	5258733	5169788	0.9999	1	9889	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr002	2	h2tg000007l		138255095	143403132	-	5148038	5169788	0.9999	1	9583	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr003	1	h1tg000021l		28362599	33558558	+	5195960	5169788	0.9999	1	10286	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr003	2	h2tg000014l		28401981	33557950	+	5155970	5169788	0.9999	1	10080	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr004	1	h1tg000015l		28405351	33543332	+	5137982	5169788	0.9999	1	11275	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr004	2	h2tg000008l		138190707	143268823	-	5078117	5169788	0.9999	1	10649	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr005	1	h1tg000024l		25685419	30792368	-	5106950	5169788	0.9999	1	9765	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr005	2	h2tg000025l		27505079	32631962	-	5126884	5169788	0.9999	1	10071	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr006	1	h1tg000006l		28429612	33564591	+	5134980	5169604	0.9998	1	10434	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr006	2	h2tg000002l		27458750	32609940	-	5151191	5169788	0.9999	1	10607	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr007	1	h1tg000009l		141020280	146179718	-	5159439	5169788	0.9999	1	11549	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr007	2	h2tg000002l		137323480	142462680	-	5139201	5169788	0.9999	1	11256	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr008	1	h1tg000006l		138382777	143548816	-	5166040	5169788	0.9999	1	9585	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr008	2	h2tg000008l		28356191	33484508	+	5128318	5169788	0.9999	1	10033	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr009	1	h1tg000016l		28450181	33709541	+	5259361	5169788	0.9999	1	9758	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr009	2	h2tg000041l		28097238	33212102	-	5114865	5169788	0.9999	1	10422	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr010	1	h1tg000018l		28446120	33705764	+	5259645	5169788	0.9999	1	9841	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr010	2	h2tg000013l		28422940	33602432	+	5179493	5169788	0.9999	1	11330	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr011	1	h1tg000019l		138093078	143261017	-	5167940	5169604	0.9998	1	9528	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr011	2	h2tg000011l		137856776	142978436	-	5121661	5169788	0.9999	1	10658	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr012	1	h1tg000008l		28396959	33512282	+	5115324	5169788	0.9999	1	9947	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr012	2	h2tg000016l		138252661	143421402	-	5168742	5169788	0.9999	1	9622	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr013	1	h1tg000002l		139940690	145014712	-	5074023	5169788	0.9999	1	10017	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr013	2	h2tg000027l		138555153	143729247	-	5174095	5169788	0.9999	1	10629	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr014	1	h1tg000020l		28366313	33554706	+	5188394	5169788	0.9999	1	10323	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr014	2	h2tg000006l		26691275	31885063	-	5193789	5169788	0.9999	1	9103	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr015	1	h1tg000012l		28398223	33522774	+	5124552	5169604	0.9998	1	10016	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr015	2	h2tg000018l		138433262	143524291	-	5091030	5169788	0.9999	1	10149	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr016	1	h1tg000012l		137906206	143057420	-	5151215	5169788	0.9999	1	10333	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr016	2	h2tg000005l		138332729	143447191	-	5114463	5169788	0.9999	1	9837	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr018	1	h1tg000018l		28377039	33450879	+	5073841	5169604	0.9998	1	9710	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr018	2	h2tg000022l		28395345	33526946	+	5131602	5169604	0.9998	1	10122	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr019	1	h1tg000006l		137597617	142800733	-	5203117	5169788	0.9999	1	9809	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr019	2	h2tg000009l		25947834	31066127	-	5118294	5169604	0.9998	1	9620	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr020	1	h1tg000001l		28463230	33620049	+	5156820	5169788	0.9999	1	10143	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr020	2	h2tg000007l		137677150	142774159	-	5097010	5169604	0.9998	1	10377	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr021	1	h1tg000013l		137920389	143048373	-	5127985	5169788	0.9999	1	9788	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr021	2	h2tg000011l		138901647	144060314	-	5158668	5169788	0.9999	1	9891	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr022	1	h1tg000011l		137924391	143077833	-	5153443	5169788	0.9999	1	10147	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr022	2	h2tg000013l		138031891	143184813	-	5152923	5169788	0.9999	1	10342	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr023	1	h1tg000014l		137929515	143086735	-	5157221	5169604	0.9998	1	10215	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr023	2	h2tg000022l		26641068	31656450	-	5015383	5169604	0.9998	1	9606	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr024	1	h1tg000001l		137801575	142959579	-	5158005	5169788	0.9999	1	11287	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr024	2	h2tg000014l		137766819	142943455	-	5176637	5169604	0.9998	1	10494	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr025	1	h1tg000007l		139497787	144647520	-	5149734	5169788	0.9999	1	10908	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr025	2	h2tg000006l		138571729	143809751	-	5238023	5169683	0.9999	1	10006	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr026	1	h1tg000019l		28393961	33702327	+	5308367	5169788	0.9999	1	9929	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr026	2	h2tg000012l		28359568	33574257	+	5214690	5169788	0.9999	1	9059	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr027	1	h1tg000004l		28384126	33662392	+	5278267	5169788	0.9999	1	9512	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr027	2	h2tg000013l		11085473	16306923	-	5221451	5169788	0.9999	1	10362	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr029	1	h1tg000032l		28462821	33705004	+	5242184	5169788	0.9999	1	9099	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr029	2	h2tg000012l		28417575	33541972	+	5124398	5169788	0.9999	1	10246	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr030	1	h1tg000001l		28446903	33506362	+	5059460	5169604	0.9998	1	9867	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr030	2	h2tg000012l		28433288	33581296	+	5148009	5169788	0.9999	1	9600	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr031	1	h1tg000019l		26371881	31586781	-	5214901	5169788	0.9999	1	9246	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr031	2	h2tg000036l		28402991	33519712	+	5116722	5169604	0.9998	1	10223	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr032	1	h1tg000006l		28452318	33694285	+	5241968	5169788	0.9999	1	10425	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr032	2	h2tg000014l		28405263	33673740	+	5268478	5169788	0.9999	1	11454	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr033	1	h1tg000008l		27149396	32366749	-	5217354	5169788	0.9999	1	9086	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr033	2	h2tg000008l		28349631	33452614	+	5102984	5169604	0.9998	1	9909	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr034	1	h1tg000032l		26576741	31706138	-	5129398	5169604	0.9998	1	9857	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr034	2	h2tg000008l		28434563	33559669	+	5125107	5167131	0.9994	1	9790	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr035	1	h1tg000018l		27655502	32798707	-	5143206	5169788	0.9999	1	10463	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr035	2	h2tg000011l		27516869	32663681	-	5146813	5169788	0.9999	1	9653	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr036	1	h1tg000026l		25218090	30345004	-	5126915	5169788	0.9999	1	9708	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr036	2	h2tg000017l		1678659	6817558	+	5138900	5169788	0.9999	1	9628	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr037	1	h1tg000004l		138070351	143231345	-	5160995	5169604	0.9998	1	10166	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr037	2	h2tg000014l		138095539	143312355	-	5216817	5169788	0.9999	1	11699	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr038	1	h1tg000017l		1654472	6798671	+	5144200	5169788	0.9999	1	9507	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr038	2	h2tg000022l		127876238	133012041	-	5135804	5169788	0.9999	1	10489	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr039	1	h1tg000005l		28445311	33640507	+	5195197	5169788	0.9999	1	9670	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr039	2	h2tg000012l		28411824	33614466	+	5202643	5169604	0.9998	1	9666	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr040	1	h1tg000032l		25914346	31039269	-	5124924	5170153	0.9999	1	10897	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr040	2	h2tg000023l		25605134	30732063	-	5126930	5170153	0.9999	1	10993	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr041	1	h1tg000024l		23526305	28655372	-	5129068	5169788	0.9999	1	9931	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr041	2	h2tg000015l		28437008	33578583	+	5141576	5169604	0.9998	1	11217	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr042	1	h1tg000024l		28343014	33430082	+	5087069	5169788	0.9999	1	10188	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr042	2	h2tg000022l		28456692	33606982	+	5150291	5169788	0.9999	1	9866	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr043	1	h1tg000012l		139593152	144731880	-	5138729	5169788	0.9999	1	10133	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr043	2	h2tg000007l		28374571	33634772	+	5260202	5169788	0.9999	1	10425	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr044	1	h1tg000020l		28254023	33444694	+	5190672	5169788	0.9999	1	11626	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr044	2	h2tg000019l		138732995	143879453	-	5146459	5169604	0.9998	1	9938	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr045	1	h1tg000014l		28436066	33585265	+	5149200	5169788	0.9999	1	10037	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr045	2	h2tg000020l		28349553	33649005	+	5299453	5169788	0.9999	1	9876	MHC_GRCh38#0#chr6:28410120-33580577	APR
apr046	1	h1tg000020l		28428626	33509292	+	5080667	5169788	0.9999	1	9529	MHC_GRCh38#0#chr6:28410120-33580577	APR
