marker_id	donor	assembly_mhc_hits	assembly_locations	alternative_mhc_hits	alternative_locations
HLA-PROT-C-5948b39ec166038b-NA18620#2-cds239	NA18620	1	"[{""contig"": ""NA18620#2#JBHIJV010000064.1:28361084-33404871"", ""start_1based"": 2850574, ""strand"": ""-""}]"	4	"[{""contig"": ""NA18620#1#JBHIJU010000014.1:28371273-33496778"", ""start_1based"": 1590532, ""strand"": ""+""}, {""contig"": ""NA18620#1#JBHIJU010000014.1:28371273-33496778"", ""start_1based"": 2856727, ""strand"": ""-""}, {""contig"": ""NA18620#2#JBHIJV010000064.1:28361084-33404871"", ""start_1based"": 1416181, ""strand"": ""+""}, {""contig"": ""NA18620#2#JBHIJV010000064.1:28361084-33404871"", ""start_1based"": 1587613, ""strand"": ""+""}]"
HLA-PROT-DRB1-6efc31831b0222d9-HG01943#2-cds344	HG01943	3	"[{""contig"": ""HG01943#1#JBHIIK010000008.1:28388608-33634739"", ""start_1based"": 4122282, ""strand"": ""-""}, {""contig"": ""HG01943#2#JBHIIL010000059.1:28384336-33527821"", ""start_1based"": 4017793, ""strand"": ""-""}, {""contig"": ""HG01943#2#JBHIIL010000059.1:28384336-33527821"", ""start_1based"": 4145701, ""strand"": ""-""}]"	1	"[{""contig"": ""HG01943#1#JBHIIK010000008.1:28388608-33634739"", ""start_1based"": 4251349, ""strand"": ""-""}]"
HLA-PROT-DRB1-6efc31831b0222d9-HG01943#2-cds345	HG01943	3	"[{""contig"": ""HG01943#1#JBHIIK010000008.1:28388608-33634739"", ""start_1based"": 4122281, ""strand"": ""-""}, {""contig"": ""HG01943#2#JBHIIL010000059.1:28384336-33527821"", ""start_1based"": 4017792, ""strand"": ""-""}, {""contig"": ""HG01943#2#JBHIIL010000059.1:28384336-33527821"", ""start_1based"": 4145700, ""strand"": ""-""}]"	1	"[{""contig"": ""HG01943#1#JBHIIK010000008.1:28388608-33634739"", ""start_1based"": 4251348, ""strand"": ""-""}]"
HLA-PROT-DRB1-a23ab9e5e0fd3b94-HG01252#2-cds706	HG01252	1	"[{""contig"": ""HG01252#2#CM088855.1:28339611-33537772"", ""start_1based"": 4199203, ""strand"": ""-""}]"	3	"[{""contig"": ""HG01252#1#CM088824.1:28394713-33593325"", ""start_1based"": 4155271, ""strand"": ""-""}, {""contig"": ""HG01252#1#CM088824.1:28394713-33593325"", ""start_1based"": 4199436, ""strand"": ""-""}, {""contig"": ""HG01252#2#CM088855.1:28339611-33537772"", ""start_1based"": 4155030, ""strand"": ""-""}]"
HLA-PROT-DRB1-a23ab9e5e0fd3b94-HG01358#1-cds706	HG01358	1	"[{""contig"": ""HG01358#1#CM089055.1:28447322-33645210"", ""start_1based"": 4199199, ""strand"": ""-""}]"	1	"[{""contig"": ""HG01358#1#CM089055.1:28447322-33645210"", ""start_1based"": 4155026, ""strand"": ""-""}]"
HLA-PROT-DRB1-a23ab9e5e0fd3b94-HG01943#1-cds706	HG01943	1	"[{""contig"": ""HG01943#1#JBHIIK010000008.1:28388608-33634739"", ""start_1based"": 4246822, ""strand"": ""-""}]"	2	"[{""contig"": ""HG01943#1#JBHIIK010000008.1:28388608-33634739"", ""start_1based"": 4202649, ""strand"": ""-""}, {""contig"": ""HG01943#2#JBHIIL010000059.1:28384336-33527821"", ""start_1based"": 4098187, ""strand"": ""-""}]"
HLA-PROT-DRB1-ad48d0a393823ed2-HG02976#2-cds196	HG02976	1	"[{""contig"": ""HG02976#2#JBHDVX010000061.1:28449910-33601091"", ""start_1based"": 4156351, ""strand"": ""-""}]"	0	[]
HLA-PROT-DRB1-ad48d0a393823ed2-HG02976#2-cds197	HG02976	1	"[{""contig"": ""HG02976#2#JBHDVX010000061.1:28449910-33601091"", ""start_1based"": 4156350, ""strand"": ""-""}]"	0	[]
HLA-PROT-DRB1-ad48d0a393823ed2-HG02976#2-cds357	HG02976	1	"[{""contig"": ""HG02976#2#JBHDVX010000061.1:28449910-33601091"", ""start_1based"": 4156190, ""strand"": ""-""}]"	2	"[{""contig"": ""HG02976#1#JBHDVW010000052.1:28458918-33596444"", ""start_1based"": 4079977, ""strand"": ""-""}, {""contig"": ""HG02976#2#JBHDVX010000061.1:28449910-33601091"", ""start_1based"": 4092242, ""strand"": ""-""}]"
HLA-PROT-DRB1-ba0192aed98e11e3-NA19159#1-cds230	NA19159	1	"[{""contig"": ""NA19159#1#JBJXQL010000007.1:28425942-33548809"", ""start_1based"": 4130930, ""strand"": ""-""}]"	2	"[{""contig"": ""NA19159#1#JBJXQL010000007.1:28425942-33548809"", ""start_1based"": 4625971, ""strand"": ""+""}, {""contig"": ""NA19159#2#JBJXQM010000009.1:28479051-33767425"", ""start_1based"": 4788876, ""strand"": ""+""}]"
EXPERIMENT-NA18608-HLA-DRB1-NA18608#1-cds135	NA18608	1	"[{""contig"": ""NA18608#1#JBHIJW010000005.1:28379380-33466928"", ""start_1based"": 4094337, ""strand"": ""-""}]"	1	"[{""contig"": ""NA18608#2#JBHIJX010000014.1:28375523-33585552"", ""start_1based"": 4215053, ""strand"": ""-""}]"
EXPERIMENT-NA18608-HLA-DRB1-NA18608#1-cds257	NA18608	1	"[{""contig"": ""NA18608#1#JBHIJW010000005.1:28379380-33466928"", ""start_1based"": 4094215, ""strand"": ""-""}]"	1	"[{""contig"": ""NA18608#2#JBHIJX010000014.1:28375523-33585552"", ""start_1based"": 4214931, ""strand"": ""-""}]"
EXPERIMENT-NA18608-HLA-DRB1-NA18608#1-cds261	NA18608	1	"[{""contig"": ""NA18608#1#JBHIJW010000005.1:28379380-33466928"", ""start_1based"": 4094211, ""strand"": ""-""}]"	1	"[{""contig"": ""NA18608#2#JBHIJX010000014.1:28375523-33585552"", ""start_1based"": 4214927, ""strand"": ""-""}]"
EXPERIMENT-NA18608-HLA-DRB1-NA18608#1-cds265	NA18608	1	"[{""contig"": ""NA18608#1#JBHIJW010000005.1:28379380-33466928"", ""start_1based"": 4094207, ""strand"": ""-""}]"	1	"[{""contig"": ""NA18608#2#JBHIJX010000014.1:28375523-33585552"", ""start_1based"": 4214923, ""strand"": ""-""}]"
EXPERIMENT-NA18608-HLA-DRB1-NA18608#1-cds421	NA18608	2	"[{""contig"": ""NA18608#1#JBHIJW010000005.1:28379380-33466928"", ""start_1based"": 4091795, ""strand"": ""-""}, {""contig"": ""NA18608#2#JBHIJX010000014.1:28375523-33585552"", ""start_1based"": 4212525, ""strand"": ""-""}]"	0	[]
EXPERIMENT-NA18608-HLA-DRB1-NA18608#2-cds344	NA18608	3	"[{""contig"": ""NA18608#1#JBHIJW010000005.1:28379380-33466928"", ""start_1based"": 4030583, ""strand"": ""-""}, {""contig"": ""NA18608#2#JBHIJX010000014.1:28375523-33585552"", ""start_1based"": 4151313, ""strand"": ""-""}, {""contig"": ""NA18608#2#JBHIJX010000014.1:28375523-33585552"", ""start_1based"": 4214844, ""strand"": ""-""}]"	1	"[{""contig"": ""NA18608#1#JBHIJW010000005.1:28379380-33466928"", ""start_1based"": 4094128, ""strand"": ""-""}]"
EXPERIMENT-NA18608-HLA-DRB1-NA18608#2-cds345	NA18608	3	"[{""contig"": ""NA18608#1#JBHIJW010000005.1:28379380-33466928"", ""start_1based"": 4030582, ""strand"": ""-""}, {""contig"": ""NA18608#2#JBHIJX010000014.1:28375523-33585552"", ""start_1based"": 4151312, ""strand"": ""-""}, {""contig"": ""NA18608#2#JBHIJX010000014.1:28375523-33585552"", ""start_1based"": 4214843, ""strand"": ""-""}]"	1	"[{""contig"": ""NA18608#1#JBHIJW010000005.1:28379380-33466928"", ""start_1based"": 4094127, ""strand"": ""-""}]"
EXPERIMENT-NA18608-HLA-DRB1-NA18608#2-cds421	NA18608	2	"[{""contig"": ""NA18608#1#JBHIJW010000005.1:28379380-33466928"", ""start_1based"": 4091795, ""strand"": ""-""}, {""contig"": ""NA18608#2#JBHIJX010000014.1:28375523-33585552"", ""start_1based"": 4212525, ""strand"": ""-""}]"	0	[]
EXPERIMENT-NA18943-HLA-A-NA18943#1-cds368	NA18943	1	"[{""contig"": ""NA18943#1#CM101660.1:28426731-33491938"", ""start_1based"": 1524862, ""strand"": ""+""}]"	1	"[{""contig"": ""NA18943#2#CM101689.1:28413016-33476747"", ""start_1based"": 1523956, ""strand"": ""+""}]"
EXPERIMENT-NA18943-HLA-DRB1-NA18943#1-cds286	NA18943	1	"[{""contig"": ""NA18943#1#CM101660.1:28426731-33491938"", ""start_1based"": 4070331, ""strand"": ""-""}]"	1	"[{""contig"": ""NA18943#2#CM101689.1:28413016-33476747"", ""start_1based"": 4071491, ""strand"": ""-""}]"
